作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Group,GENDER,Edu,AGE,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,PrivacyConcern_9,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,DisadvantagingTarget_4,DisadvantagingTarget_5,DisadvantagingTarget_6,DisadvantagingTarget_7,DisadvantagingTarget_8,DisadvantagingTarget_9,DisadvantagingTarget_10,Precision_1,Precision_2,Precision_3,Precision_4,Precision_5,Precision_6,Precision_7,Precision_8,Precision_9,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_4,Trustworthiness_5,Trustworthiness_6,Trustworthiness_7,Trustworthiness_8,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_1,Colonisation_2,Colonisation_3,Colonisation_4,Colonisation_5,Colonisation_6,Colonisation_7,Reflexivity_1,Reflexivity_2,Reflexivity_3,Reflexivity_4,Reflexivity_5,Reflexivity_6,Reflexivity_7,Reflexivity_8,Reflexivity_9,Reflexivity_10,Reflexivity_11,Reflexivity_12,Reflexivity_13,Reflexivity_14,Reflexivity_15,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,试次1,ResponseTime1,试次2,ResponseTime2,试次3,ResponseTime3,试次1.1,试次1反应时（毫秒）.1,试次2.1,试次2反应时（毫秒）.1,试次3.1,试次3反应时（毫秒）.1,试次1.2,试次1反应时（毫秒）.2,试次2.2,试次2反应时（毫秒）.2,试次3.2,试次3反应时（毫秒）.2,试次1.3,试次1反应时（毫秒）.3,试次2.3,试次2反应时（毫秒）.3,试次3.3,试次3反应时（毫秒）.3,试次1.4,试次1反应时（毫秒）.4,试次2.4,试次2反应时（毫秒）.4,试次3.4,试次3反应时（毫秒）.4,试次1.5,试次1反应时（毫秒）.5,试次2.5,试次2反应时（毫秒）.5,试次3.5,试次3反应时（毫秒）.5,试次1.6,试次1反应时（毫秒）.6,试次2.6,试次2反应时（毫秒）.6,试次3.6,试次3反应时（毫秒）.6,试次1.7,试次1反应时（毫秒）.7,试次2.7,试次2反应时（毫秒）.7,试次3.7,试次3反应时（毫秒）.7,试次1.8,试次1反应时（毫秒）.8,试次2.8,试次2反应时（毫秒）.8,试次3.8,试次3反应时（毫秒）.8,试次1.9,试次1反应时（毫秒）.9,试次2.9,试次2反应时（毫秒）.9,试次3.9,试次3反应时（毫秒）.9,试次1.10,试次1反应时（毫秒）.10,试次2.10,试次2反应时（毫秒）.10,试次3.10,试次3反应时（毫秒）.10,试次1.11,试次1反应时（毫秒）.11,试次2.11,试次2反应时（毫秒）.11,试次3.11,试次3反应时（毫秒）.11,试次1.12,试次1反应时（毫秒）.12,试次2.12,试次2反应时（毫秒）.12,试次3.12,试次3反应时（毫秒）.12,试次1.13,试次1反应时（毫秒）.13,试次2.13,试次2反应时（毫秒）.13,试次3.13,试次3反应时（毫秒）.13,试次1.14,试次1反应时（毫秒）.14,试次2.14,试次2反应时（毫秒）.14,试次3.14,试次3反应时（毫秒）.14,试次1.15,试次1反应时（毫秒）.15,试次2.15,试次2反应时（毫秒）.15,试次3.15,试次3反应时（毫秒）.15
oGmNO0RAxl4,9LQGD1BM,14/01/2025 22:21,14/01/2025 22:36,882,1,112.36.8.47,117.9771299,37.4092992,山东省,滨州市,COMPUTER,Windows,Chrome,1920px*1080px,10_INTP,1,3,2,1,3,2,2,1,1,3,3,2,2,3,4,2,2,2,3,2,2,1,1,1,2,2,3,2,2,1,2,2,3,2,3,3,2,1,2,2,3,3,2,2,3,2,2,1,3,4,3,4,4,3,3,4,4,5,3,4,4,5,4,3,3,4,4,4,2,3,3,2,2,1,3,2,3,2,3,2,2,3,3,4,3,2,3,4,5,5,5,5,4,3,4,4,3,2,2,4,4,3,2,4,4,4,3,3,4,5,4,5,5,5,2,1,2,3,2,2,1,2,1,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,44815, ,39789.2, ,23452.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q1kGva0RqP4,qM6xwo3L,14/01/2025 22:22,14/01/2025 22:36,809,1,183.188.54.163,112.7115244,38.419054,山西省,忻州市,COMPUTER,Windows,Chrome,1680px*1050px,10_INTP,2,5,4,1,3,4,5,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,4,4,5,4,5,4,4,4,5,5,5,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,4,4,3,2,2,2,1,2,2,4,2,4,3,2,2,2,4,4,2,2,2,2,1,1,2,2,1,2,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,3,2,2,2,1,2,1,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,5,5,4,5,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20724.4, ,17779.5, ,21261.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NPXzJE10Q6r,AM99pznM,14/01/2025 22:17,14/01/2025 22:35,1075,1,120.85.102.74,113.426036,23.198032,广东省,广州市,COMPUTER,Windows,Chrome,1270px*715px,10_INTP,2,4,2,1,3,5,4,5,2,4,4,5,5,4,5,4,5,3,4,5,2,4,5,5,3,5,4,5,4,5,5,5,5,3,4,5,3,3,3,5,2,3,3,3,3,4,4,4,5,5,4,5,5,4,3,4,5,3,3,2,2,2,4,1,3,4,5,5,5,4,1,1,2,5,5,5,4,4,5,5,5,5,4,5,5,3,3,4,2,4,5,2,4,2,2,3,3,1,1,4,4,3,1,2,1,3,3,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,4,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,186110.4, ,68461.7, ,30977.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
NPXzWDZaWgJ,leNyPkbL,14/01/2025 23:21,14/01/2025 23:33,718,1,218.0.193.30,120.2188504,30.239899,浙江省,杭州市,COMPUTER,Windows,Chrome,1366px*768px,11_ESTP,2,4,3,1,3,4,4,3,4,5,4,4,5,4,4,3,4,4,4,5,3,4,4,5,4,4,4,3,3,4,4,5,3,2,3,3,3,2,3,2,3,2,2,1,4,4,5,4,3,4,5,5,5,4,4,5,5,5,3,2,3,2,3,2,2,3,3,4,4,3,5,3,2,3,3,4,4,4,3,3,3,4,3,3,2,3,4,4,3,4,4,3,2,2,3,4,2,3,3,4,4,3,2,4,3,3,4,4,4,3,3,4,4,3,3,4,4,5,4,4,3,4,3,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57377.6, ,33425.9, ,26587.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZoAxGDJj1a,z7Az3JoL,14/01/2025 22:21,14/01/2025 23:20,3588,1,182.44.38.66,115.469125,35.2401634,山东省,菏泽市,COMPUTER,Windows,Chrome,1920px*1080px,11_ESTP,2,4,3,1,3,4,5,5,4,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,4,5,4,2,1,1,2,1,2,1,2,1,5,4,5,4,2,1,2,5,4,5,2,1,1,2,1,2,2,1,2,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4,2,1,1,2,1,2,1,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11794.4, ,4712.1, ,24335, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bo3dJwEGadk,WMR8B2PL,14/01/2025 22:53,14/01/2025 23:05,771,1,183.3.162.3,112.713867,22.72718,广东省,佛山市,COMPUTER,Windows,Chrome,1920px*1080px,11_ESTP,1,4,3,1,3,4,5,5,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,5,4,5,5,5,4,5,4,4,4,5,5,4,4,5,5,5,4,5,4,4,5,5,4,5,4,1,2,2,1,1,1,2,2,1,4,4,5,5,1,1,2,5,4,4,1,1,2,1,1,1,2,2,1,5,4,4,5,4,5,4,4,5,5,4,5,4,4,5,2,2,2,1,1,2,2,4,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,5,4,4,4,5,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19039.3, ,14473.9, ,26629.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
oGmNVPlrkN6,9LQzw4ve,14/01/2025 22:41,14/01/2025 22:57,958,1,58.20.74.170,113.0240446,28.1978805,湖南省,长沙市,COMPUTER,Windows,WeChat,1536px*864px,11_ESTP,2,4,3,1,3,4,3,4,3,4,4,4,4,5,3,3,4,4,4,3,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,5,5,5,4,5,4,4,3,2,2,2,4,4,4,4,4,4,3,2,2,2,2,2,2,3,2,2,1,1,3,3,2,3,1,4,4,4,5,5,5,5,3,2,3,2,2,2,1,2,4,4,4,4,4,4,5,4,5,5,5,5,4,5,3,2,2,2,3,3,1,1,1,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26827.8, ,15050.5, ,49123.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
vwkVn52QJOA,kM1Ob6nL,14/01/2025 22:20,14/01/2025 22:41,1206,1,116.253.211.36,109.1389829,21.4572474,广西壮族自治区,北海市,COMPUTER,Windows,Chrome,1920px*1080px,11_ESTP,1,5,4,1,3,4,4,5,5,4,5,5,4,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,5,5,4,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,5,1,2,2,1,2,2,1,2,1,4,4,5,5,1,2,2,4,5,4,1,2,2,1,2,2,1,1,2,4,4,5,4,4,5,4,4,5,4,5,4,4,5,5,1,1,2,2,1,2,2,4,4,5,4,4,5,5,4,5,5,4,4,5,5,4,4,4,5,4,5,5,4,4,5,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6099.5, ,1888.4, ,49896.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
vwkVnEYa4lV,G7XlwNw7,14/01/2025 22:22,14/01/2025 22:37,932,1,223.104.122.42,114.329808,30.576921,湖北省,武汉市,COMPUTER,Windows,Chrome,1366px*768px,11_ESTP,2,4,2,1,3,4,5,4,4,3,5,4,5,4,5,5,4,5,4,5,4,4,3,5,4,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,3,4,5,4,5,4,4,3,2,3,2,1,2,2,3,2,4,5,5,4,2,1,2,5,4,4,2,1,4,2,1,2,2,1,2,4,5,4,4,5,3,4,4,5,4,5,4,5,3,4,3,4,4,2,1,3,2,5,4,4,3,5,4,5,4,5,4,4,3,5,4,5,4,5,4,4,5,5,5,4,5,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91680.8, ,72413.9, ,35351.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nZowrvY3KA0,QL00d2qL,12/01/2024 21:41,12/01/2024 21:57,975,1,112.20.67.231,118.7377507,32.0992691,江苏省,南京市,COMPUTER,Windows,Chrome,1600px*900px,11_ESTP,1,5,4,1,3,5,5,4,4,5,4,5,4,4,4,5,5,4,4,5,5,5,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,5,4,5,4,5,4,4,5,4,4,4,5,2,1,1,1,2,2,1,1,2,4,5,5,4,2,1,1,4,4,5,1,2,2,1,1,1,2,2,1,4,5,5,4,5,5,4,5,4,4,5,1,1,2,2,2,1,2,1,1,1,2,4,5,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2684.5, ,2719.2, ,27113.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
