作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Edu,Education,Language,USEOFAI,Synchronicity_1,Synchronicity_2,Synchronicity_3,Synchronicity_4,Synchronicity_5,Synchronicity_6,Synchronicity_7,Synchronicity_8,Synchronicity_9,Synchronicity_10,Synchronicity_11,Synchronicity_12,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Excitement_4,Excitement_5,Excitement_8,Excitement_9,Referencing_1,Referencing_4,Referencing_5,PrivacyConcern_1,PrivacyConcern_2,PrivacyConcern_3,PrivacyConcern_4,PrivacyConcern_5,PrivacyConcern_6,PrivacyConcern_7,PrivacyConcern_8,DisadvantagingTarget_1,DisadvantagingTarget_2,DisadvantagingTarget_3,Autheticity_1,Autheticity_2,Autheticity_3,Trustworthiness_1,Trustworthiness_2,Trustworthiness_3,Trustworthiness_5,Trustworthiness_6,AwarenessGenAI_1,AwarenessGenAI_2,AwarenessGenAI_3,AwarenessGenAI_4,Colonisation_ExcessiveManipulation4,Colonisation_ExcessiveManipulation5,Colonisation_ExcessiveManipulation6,Colonisation_ExcessiveManipulation7,Reflexivity_Potential4,Reflexivity_Potential5,Reflexivity_Potential6,Reflexivity_Potential9,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,PRIVACYCONCERN,DISADVANTAGING,AUTHETICITY,COLONISATION,REFLXIVITY,AI_REALISATION,PERCERIVED_SYNCHRONICITY,CAT_PRIVACYCONCERN,CAT_DISADVANTAGING,CAT_AUTHENTICITY,CAT_COLONISATION,CAT_REFLEXIVITY,CAT_AI_REALISATION,CAT_AUTHETICITY
nZokDQ0GzmR,qM6ooVR7,2025-01-08 09:33:34,2025-01-08 09:47:44,850,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,120.253.11.5,106.1481690,38.4838080,宁夏回族自治区,银川市,COMPUTER,Windows,Chrome,1920px*1080px,0,1,4,3,1,3,2,3,2,1,2,1,3,2,2,1,2,2,1,1,2,2,3,2,3,4,3,3,4,3,3,2,4,4,5,4,4,5,2,3,4,3,4,4,3,3,2,3,3,2,2,3,5,4,4,4,3,4,5,2,3,1,1,3,4,2,2,3,2,2,3,1,16,1,37985.4,36317.3,32555.4,3.77777777777778,3.71428571428571,2.75,4,1.85714285714286,4,1.91666666666667,1,1,0,1,0,1,0
g90mExVPJVk,yevVl6ve,2025-01-08 09:19:10,2025-01-08 09:34:53,943,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,113.17.37.17,108.4143950,22.7972330,广西壮族自治区,南宁市,COMPUTER,Windows,Chrome,1920px*1080px,0,1,4,2,1,3,3,2,3,2,3,4,4,3,2,4,4,4,5,2,3,4,4,4,3,4,3,4,4,4,5,4,5,5,5,5,5,4,5,5,1,2,2,4,4,4,4,4,5,4,2,5,5,5,5,2,1,1,2,3,4,3,4,3,4,4,3,4,4,2,3,4,16,1,29871.1,29381.3,23575.3,4.88888888888889,2.42857142857143,3.875,1.5,3.85714285714286,5,3.16666666666667,1,1,1,0,1,1,1
oGmQOVlJ1l4,WLGnm8a7,2025-01-08 09:14:20,2025-01-08 09:23:54,574,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,171.122.204.203,112.4503094,39.3362788,山西省,朔州市,COMPUTER,Windows,WeChat,1536px*864px,0,1,5,2,1,3,2,3,2,2,2,4,2,3,2,1,1,3,1,1,2,2,3,3,3,1,1,3,2,2,2,1,4,4,5,5,4,4,4,3,3,2,3,3,2,3,3,3,4,3,3,4,4,5,3,4,5,4,4,4,4,4,3,1,1,1,2,1,1,1,1,1,16,1,45654.1,20607.1,31690.8,4.11111111111111,2.57142857142857,3,4.25,3.71428571428571,4,2.25,1,1,0,1,0,1,0
nZoonDXd8l2,G7Xdazo7,2025-01-08 08:45:45,2025-01-08 08:54:20,515,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,110.53.160.139,112.9306640,28.1677000,湖南省,长沙市,COMPUTER,Mac OS X,Chrome,2560px*1440px,0,1,5,3,1,2,5,5,5,4,5,4,4,5,5,4,5,5,3,2,2,3,4,4,4,2,2,2,1,2,2,4,5,4,5,5,5,4,4,4,3,3,2,4,4,3,3,3,2,3,4,3,4,4,4,3,3,3,4,2,2,2,4,3,4,2,2,4,2,2,2,2,16,1,29988.7,29298.7,25345.8,4.44444444444444,3.28571428571429,3.25,3.25,3,3.75,4.66666666666667,1,1,0,1,0,0,0
mNVpqgRlgJd,9LQnpzde,2025-01-08 00:31:47,2025-01-08 00:43:16,689,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,121.33.239.66,113.3857620,23.0528500,广东省,广州市,COMPUTER,Mac OS X,Safari,1440px*900px,0,1,5,2,1,3,4,5,5,3,4,5,4,5,5,3,5,5,5,3,4,3,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,3,4,4,3,2,2,4,5,5,4,5,5,4,5,5,5,4,4,3,2,3,4,3,3,2,3,4,5,5,4,4,5,4,5,4,16,1,13776,11366,27157,4.11111111111111,2.14285714285714,4.625,3,3.42857142857143,4.5,4.41666666666667,1,0,1,1,0,1,1
lAGJ3QR5aQx,nePqyoXM,2025-01-08 00:03:12,2025-01-08 00:14:54,702,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,125.85.240.29,106.5485537,29.5549125,重庆市,市辖区,COMPUTER,Windows,WeChat,1920px*1080px,0,1,5,2,1,3,4,5,5,4,4,3,4,4,5,5,4,4,3,3,2,4,4,3,5,4,5,3,4,4,3,4,3,4,3,2,2,2,3,4,2,2,1,4,4,3,5,5,5,5,4,4,5,4,3,2,3,2,1,3,4,3,4,3,4,5,3,3,4,4,5,4,16,1,34156.8,14672,25966.7,3,1.71428571428571,4.375,2,3.85714285714286,4,4.25,0,0,0,0,1,1,1
WQ2XmrPazAr,z7A8z39M,2025-01-07 23:08:33,2025-01-07 23:22:43,850,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,116.169.4.65,104.2099890,30.5692070,四川省,成都市,COMPUTER,Windows,Chrome,1536px*864px,0,1,4,2,1,3,4,4,3,4,3,4,4,4,4,5,4,4,3,2,2,2,3,2,3,3,2,2,3,3,3,3,4,4,5,5,4,4,5,5,4,5,4,3,3,3,3,3,3,3,2,3,4,3,3,4,3,3,3,2,3,2,3,3,4,3,2,3,3,2,3,2,16,1,107561,81087.5,38071.9,4.44444444444444,4,2.875,3.25,2.71428571428571,3.25,3.91666666666667,1,1,0,1,0,0,0
g90lDENEd9n,leNb0pRe,2025-01-07 23:07:46,2025-01-07 23:17:07,561,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,112.97.63.207,113.9688450,22.6313410,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*718px,0,1,5,6,1,3,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,4,4,5,4,1,1,1,2,4,4,4,4,2,1,1,1,2,2,2,2,1,16,1,55838.9,77761.3,39842.1,1.66666666666667,1.57142857142857,1.625,1.25,4.28571428571429,4.25,1.66666666666667,0,0,0,0,1,1,0
vwkV9r3yPoW,9LQbngGe,2025-01-07 22:34:51,2025-01-07 22:48:01,790,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,171.105.93.119,109.6177304,23.0980405,广西壮族自治区,贵港市,COMPUTER,Windows,Chrome,1536px*864px,0,1,4,2,1,3,2,4,2,2,2,3,2,3,3,2,4,3,2,2,2,3,3,2,3,3,2,3,3,2,2,2,4,4,4,4,3,4,3,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,2,4,4,2,4,2,4,3,4,2,2,2,2,2,3,3,2,2,16,1,37178.4,19954.9,24406.5,3.77777777777778,2.14285714285714,3.75,3.5,3.57142857142857,2,2.66666666666667,1,0,0,1,0,0,0
nZoA4pNXRla,G7XnDV5e,2025-01-07 23:39:23,2025-01-07 23:53:15,832,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,39.144.251.68,118.2461360,24.6061670,福建省,厦门市,COMPUTER,Windows,Chrome,1536px*864px,1,10,4,3,1,1,4,4,4,4,5,4,4,4,4,3,4,5,3,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,2,3,3,2,4,2,4,4,3,4,4,4,4,3,4,3,10,10,22338,164176.8,28588.3,4.11111111111111,3.57142857142857,4.125,3,3.14285714285714,4,4.08333333333333,1,1,1,1,0,1,1
mNVpDab429K,ve8J5qW7,2025-01-07 23:13:38,2025-01-07 23:37:09,1411,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,121.25.214.234,114.9000407,40.8160914,河北省,张家口市,COMPUTER,Windows,WeChat,1536px*864px,1,10,4,2,1,2,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,2,2,2,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,3,4,4,4,5,4,4,5,5,5,5,10,10,137888.6,95236.8,47784.5,4.11111111111111,2.42857142857143,4.125,4.25,4.28571428571429,4.25,4.25,1,1,1,1,1,1,1
Q1kGjZ6vaDq,37K8A2PL,2025-01-07 23:05:06,2025-01-07 23:15:34,628,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,182.33.0.188,116.5968167,35.3961037,山东省,济宁市,COMPUTER,Windows,WeChat,1280px*720px,1,10,4,2,1,3,4,5,5,4,5,4,4,5,5,4,5,4,3,3,4,3,5,4,5,5,5,5,4,4,4,4,2,1,2,2,1,1,2,1,2,2,1,4,5,5,4,5,5,5,4,4,4,5,4,2,1,1,2,5,5,4,4,4,5,5,4,4,5,5,4,5,10,10,28238.2,21009.2,31244.1,1.55555555555556,1.85714285714286,4.625,1.5,4.28571428571429,4.25,4.5,0,0,1,0,1,1,1
g90lkWJg0wO,VMJZB91M,2025-01-07 22:48:15,2025-01-07 23:03:49,934,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,183.219.65.234,114.3966440,27.7987330,江西省,宜春市,COMPUTER,Windows,Chrome,1536px*864px,1,10,4,3,1,3,4,4,5,4,4,4,5,5,4,4,3,3,4,5,5,4,4,4,5,4,3,4,4,4,4,5,2,1,1,2,2,2,1,1,2,1,2,4,3,3,4,5,5,4,4,3,3,2,3,1,2,2,1,4,4,4,4,4,5,4,4,5,5,4,5,4,10,10,28750.7,7937.4,25382.2,1.44444444444444,1.57142857142857,4,1.5,4.14285714285714,2.75,4.08333333333333,0,0,0,0,1,0,1
g90lBVE5Paw,27a2DWbL,2025-01-07 22:36:17,2025-01-07 22:50:36,859,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,42.94.21.117,103.7632996,36.0865497,甘肃省,兰州市,COMPUTER,Windows,Chrome,1366px*768px,1,10,3,3,1,3,5,4,4,5,4,5,5,4,5,4,4,5,3,4,4,3,5,4,5,5,4,5,4,4,4,3,5,4,4,5,5,4,5,5,4,3,3,3,4,3,4,5,4,3,4,4,3,4,2,4,4,3,2,4,4,3,4,3,4,4,5,4,4,3,4,5,10,10,85151.5,104330.9,29712.6,4.55555555555556,3.57142857142857,3.75,3.25,3.42857142857143,3.25,4.5,1,1,0,1,0,0,0
oGmNO0RAxl4,9LQGD1BM,2025-01-07 22:21:49,2025-01-07 22:36:31,882,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,112.36.8.47,117.9771299,37.4092992,山东省,滨州市,COMPUTER,Windows,Chrome,1920px*1080px,1,10,3,2,1,3,2,2,1,1,3,3,2,2,3,4,2,2,1,1,2,2,1,2,2,2,2,2,2,3,1,3,4,3,4,4,3,3,4,4,3,2,2,2,3,2,2,3,3,3,2,5,5,5,5,4,3,2,2,2,4,4,3,2,1,2,3,2,2,1,2,1,10,10,44815,39789.2,23452.6,3.77777777777778,2.57142857142857,2.5,2.75,3.57142857142857,5,2.25,1,1,0,1,0,1,0
NPXzJE10Q6r,AM99pznM,2025-01-07 22:17:49,2025-01-07 22:35:44,1075,1,B3yiI3,消费者性格与AI视频广告研究真人组（主研究-Study3）,120.85.102.74,113.4260360,23.1980320,广东省,广州市,COMPUTER,Windows,Chrome,1270px*715px,1,10,4,2,1,3,5,4,5,2,4,4,5,5,4,5,4,5,5,5,3,5,5,5,5,3,5,3,3,3,4,5,5,4,5,5,4,3,4,5,3,4,4,4,5,5,5,5,4,5,3,2,4,5,2,3,3,1,1,1,2,1,2,4,3,3,3,4,4,5,5,4,10,10,186110.4,68461.7,30977.8,4.22222222222222,3.28571428571429,4.5,2,2,3.25,4.33333333333333,1,1,1,0,0,0,1
oGmg3NxbBGW,37KYrYPe,2025-01-08 18:54:31,2025-01-08 19:16:22,1311,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,124.130.250.195,122.0854211,37.5216531,山东省,威海市,COMPUTER,Windows,Chrome,1536px*864px,1,10,4,4,1,3,5,4,4,5,5,5,4,5,4,4,5,5,5,4,5,4,4,5,4,4,4,5,5,5,5,4,2,1,2,2,2,1,1,2,2,1,1,5,4,5,4,4,5,5,5,5,5,4,4,2,1,1,1,4,5,4,4,4,5,5,5,5,5,4,5,4,10,10,71630.2,54760.2,37010.6,1.55555555555556,1.42857142857143,4.625,1.25,4.14285714285714,4.5,4.58333333333333,0,0,1,0,1,1,1
g90Xvon9wVk,8MZ4nzyL,2025-01-08 17:15:39,2025-01-08 17:26:05,626,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,42.86.10.120,121.1405057,41.1187053,辽宁省,锦州市,COMPUTER,Windows,Chrome,1366px*768px,1,10,4,4,1,3,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,5,4,5,4,4,5,4,4,5,2,2,1,4,5,4,4,5,4,5,4,4,5,2,2,2,2,1,1,4,5,4,4,4,5,4,4,4,5,4,5,4,10,10,8128,10074.3,24062.6,4.33333333333333,1.71428571428571,4.375,1.5,4.28571428571429,3.25,4.33333333333333,1,0,1,0,1,0,1
vwkaxYo4ZjN,5Lwy8AzM,2025-01-08 17:03:42,2025-01-08 17:19:33,951,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,121.11.47.186,116.7166793,23.3721709,广东省,汕头市,COMPUTER,Windows,Chrome,1920px*1080px,1,10,4,6,1,3,5,4,4,5,4,5,4,5,4,4,5,4,4,5,4,4,4,5,4,4,5,4,5,5,4,5,2,1,2,1,2,1,2,1,2,2,1,4,5,4,5,4,4,4,5,5,4,5,4,2,1,1,2,5,4,5,4,4,4,5,5,4,5,4,5,5,10,10,26404.4,16104.2,35478.7,1.55555555555556,1.57142857142857,4.375,1.5,4.42857142857143,4.5,4.41666666666667,0,0,1,0,1,1,1
Q1k5d6rjN6B,o7jnwpO7,2025-01-08 16:37:39,2025-01-08 16:50:22,763,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,221.224.57.214,120.6079090,31.7779650,江苏省,苏州市,COMPUTER,Windows,Chrome,1600px*900px,1,10,5,4,1,3,4,5,5,4,5,4,4,5,5,4,5,4,4,4,5,4,5,4,4,5,4,4,5,4,4,5,1,2,1,1,2,2,1,2,1,2,1,5,4,5,4,5,5,4,5,5,5,4,5,2,1,1,2,5,4,5,5,4,5,4,5,5,4,5,4,5,10,10,16464.9,9994,29469.6,1.44444444444444,1.42857142857143,4.625,1.5,4.85714285714286,4.75,4.5,0,0,1,0,1,1,1
mNV8BQJgzJd,oe4JJYa7,2025-01-08 16:27:58,2025-01-08 16:43:24,926,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,223.98.104.57,117.3250044,34.8111483,山东省,枣庄市,COMPUTER,Windows,Chrome,1366px*768px,1,10,4,2,1,3,5,4,4,5,5,4,4,5,4,4,5,4,4,3,4,3,4,5,4,4,3,4,4,4,5,3,4,4,5,4,5,4,4,5,2,1,2,4,4,3,4,4,4,3,4,4,5,4,3,3,4,3,4,3,3,4,4,2,4,3,4,5,4,2,4,3,10,10,118779.2,45079.9,32166.8,4.33333333333333,2,3.75,3.5,3.85714285714286,4,4.41666666666667,1,0,0,1,1,1,0
Q1k5NwyzbKB,me3g2JDe,2025-01-08 16:23:37,2025-01-08 16:38:31,894,1,iyAfQn,消费者性格与AI视频广告研究真人组（Part2-Study3）,123.182.1.94,114.9000407,40.8160914,河北省,张家口市,COMPUTER,Windows,Chrome,1440px*900px,1,10,5,4,1,3,5,4,5,5,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,4,4,4,4,4,2,1,2,2,1,2,2,2,1,2,2,4,4,5,5,4,4,5,4,4,5,4,4,1,2,2,1,5,4,5,4,4,5,5,4,5,4,5,5,4,10,10,22613.2,12292.5,149325.6,1.66666666666667,1.42857142857143,4.375,1.5,4.42857142857143,4.25,4.5,0,0,1,0,1,1,1
g9000bBb2o8,xebdJBl7,2025-01-08 08:25:00,2025-01-08 08:34:46,586,1,FBzu6b,消费者性格与AI视频广告研究mismatch真人组（Study3）,182.46.164.188,115.9862978,36.4417325,山东省,聊城市,COMPUTER,Windows,Chrome,1920px*1080px,0,10,4,4,1,3,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,5,4,5,4,5,4,4,5,5,4,5,2,1,1,1,2,2,1,2,2,1,1,4,5,5,4,5,5,4,5,4,5,5,4,2,2,1,1,4,5,4,4,5,4,4,5,4,5,5,5,4,7,10,13837.4,33864.5,26661.4,1.44444444444444,1.42857142857143,4.625,1.5,4.28571428571429,4.5,4.41666666666667,0,0,1,0,1,1,1
