作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_1,SelfPersonality_2,SelfPersonality_3,SelfPersonality_4,SelfPersonality_5,SelfPersonality_6,SelfPersonality_7,SelfPersonality_8,SelfPersonality_9,SelfPersonality_10,SelfPersonality_11,SelfPersonality_12,SelfPersonality_13,SelfPersonality_14,SelfPersonality_15,SelfPersonality_16,BrandPersonality_1,BrandPersonality_2,BrandPersonality_3,BrandPersonality_4,BrandPersonality_5,BrandPersonality_6,BrandPersonality_7,BrandPersonality_8,BrandPersonality_9,BrandPersonality_10,BrandPersonality_11,BrandPersonality_12,BrandPersonality_13,BrandPersonality_14,BrandPersonality_15,BrandPersonality_16,InfluencerPersonality_1,InfluencerPersonality_2,InfluencerPersonality_3,InfluencerPersonality_4,InfluencerPersonality_5,InfluencerPersonality_6,InfluencerPersonality_7,InfluencerPersonality_8,InfluencerPersonality_9,InfluencerPersonality_10,InfluencerPersonality_11,InfluencerPersonality_12,InfluencerPersonality_13,InfluencerPersonality_14,InfluencerPersonality_15,InfluencerPersonality_16,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_1,ExtendedPersonality_2,ExtendedPersonality_3,ExtendedPersonality_4,ExtendedPersonality_5,ExtendedPersonality_6,ExtendedPersonality_7,ExtendedPersonality_8,ExtendedPersonality_9,ExtendedPersonality_10,ExtendedPersonality_11,ExtendedPersonality_12,ExtendedPersonality_13,ExtendedPersonality_14,ExtendedPersonality_15,ExtendedPersonality_16,TargetingGap_1R,TargetingGap_2R,TargetingGap_3R,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1R,DemonstrativeGap_2R,DemonstrativeGap_3R,DemonstrativeGap_4R,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,AVE_SP_1,AVE_SP_2,AVE_SP_3,AVE_SP_4,AVE_BP_1,AVE_BP_2,AVE_BP_3,AVE_BP_4,AVE_IP_1,AVE_IP_2,AVE_IP_3,AVE_IP_4,AVE_EP_1,AVE_EP_2,AVE_EP_3,AVE_EP_4
NPXbYxDPWzg,pLzyKmK7,28/12/2024 08:13,28/12/2024 08:29,983,1,39.163.69.28,114.0494693,32.9796577,河南省,驻马店市,COMPUTER,Windows,Chrome,1920px*1080px,0,1,1,4,4,1,3,4,4,5,4,4,2,5,4,4,4,4,2,5,2,3,2,5,4,4,1,2,1,4,2,5,3,2,2,4,1,5,2,4,5,4,2,5,1,2,2,4,2,2,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,5,2,5,2,4,1,4,1,4,2,2,2,4,1,5,2,4,5,4,1,1,4,5,5,4,1,2,4,1,1,2,16,1,101769.4,107213,52417,4.25,4.333333333,3.333333333,3,3.5,2.25,3,3,3.75,2.5,3.25,4.5,3.5,2.5,2.5,3
NPXZxO9oP3v,z7l5dApL,28/12/2024 00:45,28/12/2024 00:58,746,1,114.102.49.80,118.5118175,31.6853633,安徽省,马鞍山市,COMPUTER,Windows,Chrome,1707px*960px,0,1,2,4,3,1,3,4,4,5,2,4,1,2,4,5,2,5,1,4,2,3,2,4,2,2,1,2,2,2,1,3,2,2,2,3,1,4,1,2,2,4,1,4,3,4,4,4,1,2,4,2,3,5,2,4,4,5,4,4,5,4,5,4,5,5,4,4,1,3,2,2,2,3,1,2,2,2,2,3,1,2,2,4,4,5,1,2,4,5,3,4,2,2,3,1,2,1,16,1,65261.2,28826.2,33872.9,3.75,3.333333333,2.666666667,2.75,2.25,1.75,2.25,2.25,2.25,3.75,2.75,3,2.5,2,2,2
vwkRKo40jgv,2MdO2nXe,28/12/2024 00:01,28/12/2024 00:11,598,1,39.128.6.23,102.714175,25.0417057,云南省,昆明市,COMPUTER,Windows,Chrome,1280px*720px,0,1,1,5,2,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,4,5,5,4,5,5,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1,5,1,1,5,1,1,1,16,1,4142.7,5464.6,25231.3,1,2.333333333,1,1,1,1,1,1,1,1,2,3,1,1,1,1
vwkRDZQq5Bx,2Mdr5w6L,27/12/2024 23:46,28/12/2024 00:04,1103,1,27.27.241.67,112.762824,32.10376,湖北省,襄阳市,COMPUTER,Windows,Chrome,1536px*864px,0,1,2,4,3,1,3,4,4,5,4,4,1,3,4,4,1,4,2,5,2,3,2,4,3,5,2,2,1,3,1,4,3,4,3,2,1,3,2,4,1,4,2,5,3,2,2,4,3,4,3,5,4,4,5,4,5,4,4,5,4,4,5,4,3,4,5,4,1,4,2,3,1,4,1,5,3,4,3,5,2,4,1,4,5,5,2,1,5,4,4,5,2,2,3,1,2,2,16,1,63962.4,187086.5,26319.9,4.25,3.666666667,2.333333333,3,3.5,1.75,3.5,2,2.75,3,3.5,4.5,2.75,2.25,3.75,3
Xy4Zy8Zg4xG,ve8dV4Be,27/12/2024 23:03,27/12/2024 23:17,809,1,114.84.34.149,121.4767528,31.224349,上海市,市辖区,COMPUTER,Windows,Firefox,1696px*954px,0,1,1,4,4,1,3,4,4,4,4,4,2,2,4,5,3,4,2,5,4,4,3,4,4,4,1,3,2,4,1,4,2,3,2,4,1,4,2,4,4,4,2,5,2,4,1,4,2,2,4,2,4,2,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,4,4,3,2,3,2,3,1,2,2,3,2,3,2,4,4,5,2,1,4,5,4,4,2,2,2,1,2,2,16,1,45347,55563,31693,4,3.333333333,3.333333333,4,3.25,2.5,2.75,2.75,3.5,3,3,3,4,2.5,2,2.5
mNVQDwzqRWA,yevdw2W7,27/12/2024 22:42,27/12/2024 22:56,817,1,121.16.196.145,116.8497491,38.3109803,河北省,沧州市,COMPUTER,Windows,WeChat,1707px*1067px,0,1,2,3,2,1,2,3,2,4,3,2,2,4,4,2,2,5,2,3,2,4,3,4,4,3,2,4,2,3,2,5,2,4,2,4,1,5,1,2,2,3,2,4,2,2,2,3,2,2,4,4,3,4,4,2,3,2,4,4,2,4,4,4,5,4,4,4,2,4,4,4,2,5,3,2,2,2,2,3,4,5,2,4,4,4,2,2,3,4,2,4,4,2,4,4,3,4,16,1,39742.6,41023.1,30286.7,3,3.333333333,2,3,3.25,2.75,3.25,2.75,2.25,2.5,2.75,3.75,3.5,3.5,2,3.5
vwkR0V8zzbn,o7jJkYn7,27/12/2024 22:36,27/12/2024 22:48,709,1,112.3.105.79,119.9393911,31.7558433,江苏省,常州市,COMPUTER,Windows,Chrome,1707px*1067px,0,1,1,4,2,1,3,4,3,4,2,5,2,4,5,5,2,5,1,4,2,3,1,2,1,3,1,2,2,5,1,4,3,1,2,4,1,4,1,2,2,4,1,5,2,1,2,5,2,3,4,5,4,4,5,5,4,5,4,5,5,5,4,5,5,4,4,4,1,2,2,3,1,3,2,5,2,4,1,5,2,4,1,4,5,4,2,1,4,5,4,5,2,2,4,1,1,2,16,1,79317.1,33368.7,31960.9,3.25,4.666666667,2.666666667,2.5,1.75,2.5,2.5,2.5,2.25,2.5,3.5,4.5,2.25,2.25,3,3
Q1kZPr8Wx3A,9LQpJOB7,27/12/2024 22:31,27/12/2024 22:47,927,1,120.38.233.201,118.180282,26.638792,福建省,南平市,COMPUTER,Windows,Chrome,1440px*960px,0,1,1,4,4,1,3,4,4,5,5,4,2,3,4,5,3,3,3,5,4,2,2,4,4,2,2,2,1,3,2,3,4,4,4,3,1,2,2,3,2,3,2,4,4,4,4,3,1,2,4,4,2,4,2,2,2,1,2,3,2,2,3,3,2,3,3,3,4,4,2,2,1,2,2,3,5,5,4,2,2,3,1,2,2,1,4,4,2,2,3,2,4,4,2,3,4,4,16,1,28514.1,22960.9,66197.9,4.5,3.666666667,3.666666667,3.25,3,2,3.75,2,2.5,4,2.5,3,3.25,1.75,4.25,2
mNVQo6pqpdz,JekX43dM,27/12/2024 22:28,27/12/2024 22:38,601,1,223.73.76.245,112.4783278,23.0609552,广东省,肇庆市,COMPUTER,Windows,Chrome,1280px*720px,0,1,2,4,4,1,3,3,4,3,2,4,3,4,4,2,3,4,4,4,3,4,3,4,2,5,1,4,3,3,1,4,2,3,2,5,2,3,2,4,1,5,2,5,2,3,3,4,2,3,4,3,4,4,3,4,4,5,5,4,3,5,5,4,4,5,4,5,4,3,3,4,1,4,2,3,2,3,2,3,2,3,2,2,2,3,2,3,3,4,4,5,2,2,1,2,2,2,16,1,28631.6,11554.2,28305,3,4,3,3.5,3,2.75,2.75,3,3,3.25,3.25,3.5,3.75,2.75,2.5,2.5
Q1kZmXQoJvd,2MdO2nXe,27/12/2024 23:50,27/12/2024 23:59,547,1,39.128.6.23,102.714175,25.0417057,云南省,昆明市,COMPUTER,Windows,Chrome,1280px*720px,1,10,1,5,2,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,5,5,5,5,5,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1,5,1,1,5,1,1,1,10,10,3148.3,2957.2,23813.4,1,2.333333333,1,1,1,1,1,1,1,1,2,3,1,1,1,1
lAGkRRqE0zg,8MZmYnre,27/12/2024 23:41,27/12/2024 23:51,600,1,39.183.149.194,120.122456,29.311987,浙江省,金华市,COMPUTER,Windows,Chrome,1920px*1080px,1,10,2,4,3,1,3,3,1,2,1,5,3,3,5,5,1,5,2,5,1,5,4,5,1,5,1,4,1,4,1,5,3,3,1,5,1,5,1,3,1,3,1,5,1,2,1,5,2,2,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,1,3,1,4,1,4,1,5,2,3,1,4,1,5,2,4,5,5,2,2,4,5,3,4,2,2,5,2,5,4,10,10,36219.3,33599.5,28117.1,1.75,4.333333333,2.666666667,3.75,3,2.5,3,3,2,2.25,3.5,4.75,2.25,2.5,2.75,3
nZoyxNDvqAm,J7qyZNg7,27/12/2024 22:15,27/12/2024 22:36,1243,1,112.97.61.32,113.953713,22.631298,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*718px,1,10,1,5,4,1,3,2,1,3,2,5,3,2,3,4,3,4,3,5,4,4,4,2,2,3,2,2,2,3,1,2,4,3,3,2,1,2,2,2,2,2,2,3,1,3,2,2,4,3,2,2,3,3,4,4,4,5,4,5,4,5,4,4,4,4,5,3,2,1,2,3,2,3,1,4,4,3,4,3,3,3,2,4,4,5,2,1,4,5,3,4,2,2,1,1,2,2,10,10,68284.2,44939,148239.1,2,3.333333333,3.333333333,4.25,2.25,2,3,1.75,2,2.25,2.75,3,2,2.25,3.75,2.75
nZoyxZovyPB,BMD5P1g7,27/12/2024 22:13,27/12/2024 22:36,1391,1,112.97.52.12,113.919359,22.675267,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*718px,1,10,1,5,6,1,3,3,1,3,2,5,3,2,3,4,3,4,3,4,3,5,4,2,2,3,2,2,2,3,1,2,5,3,3,2,2,2,2,2,1,2,2,3,1,3,2,2,3,3,2,2,3,3,5,4,5,4,4,5,5,4,5,4,4,5,4,3,2,2,2,3,2,3,2,4,4,3,4,3,3,3,2,4,5,4,2,2,4,4,3,3,2,2,2,1,2,2,10,10,110205.9,61243,74866.3,2.25,3.333333333,3.333333333,4,2.25,2,3.25,2,1.75,2.25,2.5,3.25,2.25,2.5,3.75,2.75
g901B9WGg15,xLVO6mRe,27/12/2024 21:56,27/12/2024 22:07,652,1,111.55.10.152,109.354769,24.371675,广西壮族自治区,柳州市,COMPUTER,Windows,Chrome,800px*360px,1,10,2,4,3,1,3,3,2,3,2,4,3,4,4,4,1,4,1,4,3,4,4,4,2,4,1,2,2,3,1,2,2,2,2,3,1,4,1,2,2,1,2,2,1,2,1,2,2,2,4,2,4,3,5,5,4,5,4,4,4,4,5,4,4,4,5,2,2,4,2,2,2,1,2,3,2,2,1,2,2,2,2,2,3,2,3,2,4,5,3,4,2,2,4,2,3,3,10,10,59390.9,21510.9,27129.8,2.5,4,2,3.75,2.75,2,2,2.25,1.75,1.5,2.5,3.5,2.5,1.75,2,2
vwkRnRPVG3X,J7B1P4ZM,27/12/2024 21:42,27/12/2024 21:55,768,1,180.91.178.112,113.1258988,23.022991,广东省,佛山市,COMPUTER,Windows,Chrome,1504px*1003px,1,10,2,5,3,1,3,4,2,4,1,4,1,3,4,5,2,5,2,5,2,2,2,4,2,2,1,4,1,4,1,5,3,4,2,4,1,4,1,4,1,4,2,5,2,4,1,5,3,2,4,5,5,4,5,4,4,5,4,4,4,5,5,4,4,5,5,4,2,5,1,3,2,4,1,4,4,4,2,5,1,4,1,4,5,4,2,1,5,4,4,5,2,2,4,1,2,2,10,10,34233.8,28901.6,12946.3,2.75,3.666666667,3,2.75,2.25,2.5,3.5,2.5,2.75,3,3.5,4.75,3,2.5,3.5,2.75
mNVaYJr4XEp,J7qQPl47,27/12/2024 21:31,27/12/2024 21:48,1047,1,223.116.116.17,93.7480009,43.071907,新疆维吾尔自治区,哈密市,COMPUTER,Windows,Chrome,1920px*1080px,1,10,2,5,4,1,3,4,4,4,3,5,2,3,5,4,2,4,2,5,3,3,3,3,2,2,2,2,1,2,2,3,4,3,2,4,1,3,2,2,2,2,3,3,2,2,1,3,3,2,4,3,4,3,5,5,4,5,4,4,4,5,5,5,4,5,4,3,2,3,1,3,1,2,2,3,3,2,3,2,2,2,1,3,4,3,2,2,4,4,3,3,2,2,4,3,3,3,10,10,113921.2,55265.4,30414.7,3.75,4.333333333,2.666666667,3.5,2.25,1.75,3,2.5,2.25,2,3,3.75,2.25,2,2.75,1.75
WQ2x1YyXxkB,me39B4E7,27/12/2024 21:34,27/12/2024 21:49,866,1,120.208.172.110,111.5133548,36.0938897,山西省,临汾市,COMPUTER,Windows,WeChat,1536px*864px,1,10,2,4,4,1,3,4,3,4,3,5,2,3,4,4,4,5,2,4,3,3,4,3,2,2,2,2,2,4,1,4,3,3,2,4,1,4,1,3,2,3,2,3,1,2,1,4,2,3,4,4,5,4,5,4,5,4,4,4,5,4,5,5,3,4,5,4,2,5,2,4,1,4,1,3,3,4,2,3,1,4,1,4,4,5,2,2,4,5,4,4,3,2,4,2,2,1,10,10,51306.7,27194.2,32455.7,3.5,4,3.333333333,3.5,2.25,2.25,3,2.5,2.5,1.75,3.25,4.5,3.25,2.5,3,2.25
mNVaG4jrPv4,JekzA4jL,27/12/2024 21:29,27/12/2024 21:39,605,1,39.144.137.34,103.972627,30.676481,四川省,成都市,COMPUTER,Windows,Chrome,1920px*1080px,1,10,1,4,3,1,3,4,5,5,4,2,1,2,5,5,4,2,5,1,5,2,1,2,2,1,4,2,1,2,2,5,4,5,4,1,2,2,2,1,1,2,2,1,1,2,2,4,4,5,2,1,4,2,5,4,5,4,4,4,4,4,5,4,5,4,4,2,1,2,2,2,1,1,2,5,4,5,4,2,2,1,1,5,4,4,1,1,5,5,4,4,1,1,5,2,2,2,10,10,24774.2,13185.7,25856.7,4.5,3,4.666666667,2.25,2.25,1.75,4.5,1.75,1.5,1.5,3.75,3,1.75,1.5,4.5,1.5
oGm5o0ZEzN6,p7YROEwL,27/12/2024 21:27,27/12/2024 21:38,659,1,111.30.250.126,117.144934,39.05941,天津市,市辖区,COMPUTER,Windows,Chrome,1536px*864px,1,10,1,5,2,1,2,3,2,3,2,4,2,4,4,4,2,4,2,5,1,4,3,2,1,4,1,3,1,4,1,3,2,2,3,3,2,4,1,3,2,3,2,5,1,3,1,4,2,2,4,3,5,4,4,4,4,4,4,4,5,5,5,4,4,5,4,3,2,3,2,3,1,3,1,3,1,3,1,3,1,4,2,4,4,3,2,2,5,5,3,4,3,2,4,2,2,2,10,10,34235.4,47144.7,26811.2,2.5,4,2.666666667,3.25,2,2.25,2.5,2.5,2.5,2.5,3,4,2.5,2,2,2.5
Xy4m1jDElo8,aMgllRw7,28/12/2024 11:09,28/12/2024 11:22,798,1,113.101.138.98,113.064258,22.606027,广东省,江门市,COMPUTER,Windows,Chrome,1366px*768px,0,10,1,5,3,1,3,3,2,3,1,4,2,5,4,3,4,4,3,4,3,4,3,3,1,4,1,4,3,4,3,3,1,2,2,5,2,5,3,3,1,4,1,4,3,3,2,4,1,2,3,2,3,4,3,4,5,4,3,5,4,5,3,4,3,5,4,4,1,4,2,5,3,4,3,4,1,2,2,3,2,4,3,4,5,4,1,2,3,4,3,5,1,2,1,2,1,1,7,10,15912,14386.6,37990.7,2.25,4.333333333,3.333333333,3.5,2.25,3.5,2,3.75,2.25,3,2.5,3,2.75,3.75,2.25,3
