作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Synchronicity,Extrovert,Sensing,Thinking,Judging,Group,Gender,Education,Age,NativeLanguage,Experience_AI,SelfPersonality_IE1,SelfPersonality_IE2,SelfPersonality_IE3,SelfPersonality_IE4,SelfPersonality_SN1,SelfPersonality_SN2,SelfPersonality_SN3,SelfPersonality_SN4,SelfPersonality_FT1,SelfPersonality_FT2,SelfPersonality_FT3,SelfPersonality_FT4,SelfPersonality_PJ1,SelfPersonality_PJ2,SelfPersonality_PJ3,SelfPersonality_PJ4,BrandPersonality_IE1,BrandPersonality_IE2,BrandPersonality_IE3,BrandPersonality_IE4,BrandPersonality_SN1,BrandPersonality_SN2,BrandPersonality_SN3,BrandPersonality_SN4,BrandPersonality_FT1,BrandPersonality_FT2,BrandPersonality_FT3,BrandPersonality_FT4,BrandPersonality_PJ1,BrandPersonality_PJ2,BrandPersonality_PJ3,BrandPersonality_PJ4,InfluencerPersonality_IE1,InfluencerPersonality_IE2,InfluencerPersonality_IE3,InfluencerPersonality_IE4,InfluencerPersonality_SN1,InfluencerPersonality_SN2,InfluencerPersonality_SN3,InfluencerPersonality_SN4,InfluencerPersonality_FT1,InfluencerPersonality_FT2,InfluencerPersonality_FT3,InfluencerPersonality_FT4,InfluencerPersonality_PJ1,InfluencerPersonality_PJ2,InfluencerPersonality_PJ3,InfluencerPersonality_PJ4,ContentMatch_1,ContentMatch_2,ContentMatch_3,ContentMatch_4,ContentMatch_7,ContentMatch_8,ContentMatch_9,ContentMatch_10,ContentMatch_11,ContentMatch_12,ContentMatch_13,ContentMatch_14,ExtendedPersonality_IE1,ExtendedPersonality_IE2,ExtendedPersonality_IE3,ExtendedPersonality_IE4,ExtendedPersonality_SN1,ExtendedPersonality_SN2,ExtendedPersonality_SN3,ExtendedPersonality_SN4,ExtendedPersonality_FT1,ExtendedPersonality_FT2,ExtendedPersonality_FT3,ExtendedPersonality_FT4,ExtendedPersonality_PJ1,ExtendedPersonality_PJ2,ExtendedPersonality_PJ3,ExtendedPersonality_PJ4,TargetingGap_1,TargetingGap_2,TargetingGap_3,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,Discrepancy1_E,Discrepancy1_I,Discrepancy1_S,Discrepancy1_N,Discrepancy1_T,Discrepancy1_F,Discrepancy1_J,Discrepancy1_P,Discrepancy2_E,Discrepancy2_I,Discrepancy2_S,Discrepancy2_N,Discrepancy2_T,Discrepancy2_F,Discrepancy2_J,Discrepancy2_P,Discrepancy3_E,Discrepancy3_I,Discrepancy3_S,Discrepancy3_N,Discrepancy3_T,Discrepancy3_F,Discrepancy3_J,Discrepancy3_P,Discrepancy4_E,Discrepancy4_I,Discrepancy4_S,Discrepancy4_N,Discrepancy4_T,Discrepancy4_F,Discrepancy4_J,Discrepancy4_P,ABS_Discrepancy1_E,ABS_Discrepancy1_I,ABS_Discrepancy1_S,ABS_Discrepancy1_N,ABS_Discrepancy1_T,ABS_Discrepancy1_F,ABS_Discrepancy1_J,ABS_Discrepancy1_P,ABS_Discrepancy2_E,ABS_Discrepancy2_I,ABS_Discrepancy2_S,ABS_Discrepancy2_N,ABS_Discrepancy2_T,ABS_Discrepancy2_F,ABS_Discrepancy2_J,ABS_Discrepancy2_P,ABS_Discrepancy3_E,ABS_Discrepancy3_I,ABS_Discrepancy3_S,ABS_Discrepancy3_N,ABS_Discrepancy3_T,ABS_Discrepancy3_F,ABS_Discrepancy3_J,ABS_Discrepancy3_P,ABS_Discrepancy4_E,ABS_Discrepancy4_I,ABS_Discrepancy4_S,ABS_Discrepancy4_N,ABS_Discrepancy4_T,ABS_Discrepancy4_F,ABS_Discrepancy4_J,ABS_Discrepancy4_P,filter_$
NPXZxO9oP3v,z7l5dApL,06/01/2025 00:45,06/01/2025 00:58,746,1,114.102.49.80,118.5118175,31.6853633,安徽省,马鞍山市,COMPUTER,Windows,Chrome,1707px*960px,0,0,1,0,0,1,2,4,3,1,3,4,4,5,2,4,1,2,4,5,2,5,1,4,2,3,2,4,2,2,1,2,2,2,1,3,2,2,2,3,1,4,1,2,2,4,1,4,3,4,4,4,1,2,2,2,3,5,4,4,4,5,4,4,5,4,5,4,5,5,4,4,1,3,2,2,2,3,1,2,2,2,2,3,1,2,2,2,2,1,1,2,2,1,3,2,2,2,3,1,2,1,16,1,65261.2,28826.2,33872.9,0,0,-4,4,-1,-1,0,5,3,-3,-2,4,4,0,0,3,1,0,1,0,-1,0,-2,-1,-2,3,-1,0,-6,-1,-2,1,0,0,4,4,1,1,0,5,3,3,2,4,4,0,0,3,1,0,1,0,1,0,2,1,2,3,1,0,6,1,2,1,1
vwkRKo40jgv,2MdO2nXe,06/01/2025 00:01,06/01/2025 00:11,598,1,39.128.6.23,102.714175,25.0417057,云南省,昆明市,COMPUTER,Windows,Chrome,1280px*720px,0,0,1,0,0,1,1,5,2,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,16,1,4142.7,5464.6,25231.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
vwkRDZQq5Bx,2Mdr5w6L,05/01/2025 23:46,06/01/2025 00:04,1103,1,27.27.241.67,112.762824,32.10376,湖北省,襄阳市,COMPUTER,Windows,Chrome,1536px*864px,0,0,1,0,0,1,2,4,3,1,3,4,4,5,4,4,1,3,4,4,1,4,2,5,2,3,2,4,3,5,2,2,1,3,1,4,3,4,3,2,1,3,2,4,1,4,2,5,3,2,2,4,3,4,3,5,2,4,1,4,5,4,4,5,4,4,5,4,3,4,5,4,1,4,2,3,1,4,1,5,3,4,3,5,2,4,1,2,1,1,2,1,1,2,2,1,2,2,3,1,2,2,16,1,63962.4,187086.5,26319.9,1,-2,-2,3,0,0,-4,0,1,-5,0,2,0,3,-1,-1,-1,2,2,0,1,0,4,0,-1,5,0,1,1,-3,1,1,1,2,2,3,0,0,4,0,1,5,0,2,0,3,1,1,1,2,2,0,1,0,4,0,1,5,0,1,1,3,1,1,1
Xy4Zy8Zg4xG,ve8dV4Be,05/01/2025 23:03,05/01/2025 23:17,809,1,114.84.34.149,121.4767528,31.224349,上海市,市辖区,COMPUTER,Windows,Firefox,1696px*954px,0,0,1,0,0,1,1,4,4,1,3,4,4,4,4,4,2,2,4,5,3,4,2,5,4,4,3,4,4,4,1,3,2,4,1,4,2,3,2,4,1,4,2,4,4,4,2,5,2,4,1,4,2,2,2,2,2,2,2,4,5,4,4,4,5,4,4,5,4,5,4,4,4,4,4,3,2,3,2,3,1,2,2,3,2,3,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,16,1,45347,55563,31693,0,1,-2,0,1,0,4,1,0,-2,-3,-1,3,-1,5,-3,0,-3,-1,-1,-2,1,-2,-1,0,0,0,0,-4,2,-3,3,0,1,2,0,1,0,4,1,0,2,3,1,3,1,5,3,0,3,1,1,2,1,2,1,0,0,0,0,4,2,3,3,1
mNVQDwzqRWA,yevdw2W7,05/01/2025 22:42,05/01/2025 22:56,817,1,121.16.196.145,116.8497491,38.3109803,河北省,沧州市,COMPUTER,Windows,WeChat,1707px*1067px,0,0,1,0,0,1,2,3,2,1,2,3,2,4,3,2,2,4,4,2,2,5,2,3,2,4,3,4,4,3,2,4,2,3,2,5,2,4,2,4,1,5,1,2,2,3,2,4,2,2,2,3,2,2,2,4,3,4,2,2,3,2,4,4,2,4,4,4,5,4,4,4,2,4,4,4,2,5,3,2,2,2,2,3,4,5,2,2,2,2,2,2,3,2,4,2,4,2,4,4,3,4,16,1,39742.6,41023.1,30286.7,2,-2,1,0,4,0,1,3,2,-1,0,0,2,0,-1,0,1,0,2,-1,-5,0,-1,-4,1,-1,3,-1,-3,0,1,-1,2,2,1,0,4,0,1,3,2,1,0,0,2,0,1,0,1,0,2,1,5,0,1,4,1,1,3,1,3,0,1,1,1
vwkR0V8zzbn,o7jJkYn7,05/01/2025 22:36,05/01/2025 22:48,709,1,112.3.105.79,119.9393911,31.7558433,江苏省,常州市,COMPUTER,Windows,Chrome,1707px*1067px,0,0,1,0,0,1,1,4,2,1,3,4,3,4,2,5,2,4,5,5,2,5,1,4,2,3,1,2,1,3,1,2,2,5,1,4,3,1,2,4,1,4,1,2,2,4,1,5,2,1,2,5,2,3,2,5,2,4,1,5,4,5,4,5,5,5,4,5,5,4,4,4,1,2,2,3,1,3,2,5,2,4,1,5,2,4,1,2,1,2,2,1,2,1,2,1,2,2,4,1,1,2,16,1,79317.1,33368.7,31960.9,-1,1,1,1,-3,-1,-1,1,2,-2,3,1,2,1,-2,0,1,-1,-1,0,4,2,1,-1,-2,2,-3,0,-1,0,2,0,1,1,1,1,3,1,1,1,2,2,3,1,2,1,2,0,1,1,1,0,4,2,1,1,2,2,3,0,1,0,2,0,1
Q1kZPr8Wx3A,9LQpJOB7,05/01/2025 22:31,05/01/2025 22:47,927,1,120.38.233.201,118.180282,26.638792,福建省,南平市,COMPUTER,Windows,Chrome,1440px*960px,0,0,1,0,0,1,1,4,4,1,3,4,4,5,5,4,2,3,4,5,3,3,3,5,4,2,2,4,4,2,2,2,1,3,2,3,4,4,4,3,1,2,2,3,2,3,2,4,4,4,4,3,1,2,2,4,4,4,4,2,2,1,2,3,2,2,3,3,2,3,3,3,4,4,2,2,1,2,2,3,5,5,4,2,2,3,1,4,4,5,4,4,4,4,3,4,4,4,2,3,4,4,16,1,28514.1,22960.9,66197.9,0,-2,-3,5,2,-5,-3,5,3,-5,-1,4,3,-3,-1,2,1,0,-1,0,1,-1,0,0,-2,3,-3,1,0,-3,-2,3,0,2,3,5,2,5,3,5,3,5,1,4,3,3,1,2,1,0,1,0,1,1,0,0,2,3,3,1,0,3,2,3,1
mNVQo6pqpdz,JekX43dM,05/01/2025 22:28,05/01/2025 22:38,601,1,223.73.76.245,112.4783278,23.0609552,广东省,肇庆市,COMPUTER,Windows,Chrome,1280px*720px,0,0,1,0,0,1,2,4,4,1,3,3,4,3,2,4,3,4,4,2,3,4,4,4,3,4,3,4,2,5,1,4,3,3,1,4,2,3,2,5,2,3,2,4,1,5,2,5,2,3,3,4,2,3,2,3,2,4,3,4,4,5,5,4,3,5,5,4,4,5,4,5,4,3,3,4,1,4,2,3,2,3,2,3,2,3,2,4,4,3,2,3,3,2,2,1,2,2,1,2,2,2,16,1,28631.6,11554.2,28305,0,0,-1,1,0,0,1,1,-3,-3,0,0,-1,-3,1,-1,-1,-4,1,1,-1,0,-2,0,2,-1,0,2,0,3,-2,2,0,0,1,1,0,0,1,1,3,3,0,0,1,3,1,1,1,4,1,1,1,0,2,0,2,1,0,2,0,3,2,2,1
Q1kZmXQoJvd,2MdO2nXe,05/01/2025 23:50,05/01/2025 23:59,547,1,39.128.6.23,102.714175,25.0417057,云南省,昆明市,COMPUTER,Windows,Chrome,1280px*720px,1,0,0,1,0,10,1,5,2,1,3,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,10,10,3148.3,2957.2,23813.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lAGkRRqE0zg,8MZmYnre,05/01/2025 23:41,05/01/2025 23:51,600,1,39.183.149.194,120.122456,29.311987,浙江省,金华市,COMPUTER,Windows,Chrome,1920px*1080px,1,0,0,1,0,10,2,4,3,1,3,3,1,2,1,5,3,3,5,5,1,5,2,5,1,5,4,5,1,5,1,4,1,4,1,5,3,3,1,5,1,5,1,3,1,3,1,5,1,2,1,5,2,2,1,5,2,5,1,5,5,5,4,5,5,5,5,5,4,5,5,4,1,3,1,4,1,4,1,5,2,3,1,4,1,5,2,2,1,1,2,2,2,1,3,2,2,2,5,2,5,4,10,10,36219.3,33599.5,28117.1,4,0,1,0,1,-1,0,1,-1,0,1,-2,3,0,0,-2,-3,0,0,0,0,1,-1,-1,2,0,0,2,-2,0,-1,2,4,0,1,0,1,1,0,1,1,0,1,2,3,0,0,2,3,0,0,0,0,1,1,1,2,0,0,2,2,0,1,2,0
nZoyxNDvqAm,J7qyZNg7,05/01/2025 22:15,05/01/2025 22:36,1243,1,112.97.61.32,113.953713,22.631298,广东省,深圳市,COMPUTER,Windows,Chrome,1276px*718px,1,0,0,1,0,10,1,5,4,1,3,2,1,3,2,5,3,2,3,4,3,4,3,5,4,4,4,2,2,3,2,2,2,3,1,2,4,3,3,2,1,2,2,2,2,2,2,3,1,3,2,2,4,3,4,2,3,3,2,4,4,5,4,5,4,5,4,4,4,4,5,3,2,1,2,3,2,3,1,4,4,3,4,3,3,3,2,2,2,1,2,1,2,1,3,2,2,2,1,1,2,2,10,10,68284.2,44939,148239.1,1,0,-1,0,0,1,-1,2,1,1,1,-3,3,2,4,-3,-1,0,1,0,2,-1,2,-2,-1,-1,-1,3,-1,-2,-3,3,1,0,1,0,0,1,1,2,1,1,1,3,3,2,4,3,1,0,1,0,2,1,2,2,1,1,1,3,1,2,3,3,0
