作答ID,用户ID,开始时间,结束时间,作答时长,作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,Authoritative,Professionalism,HighProfile,Sensational,Group,Type_Influencer,Gender,Education,Age,NativeLanguage,Experience_AI,Familiarity_1,Familiarity_2,Familiarity_3,Cuteness_1,Cuteness_2,Cuteness_3,Popularity_1,Popularity_2,Popularity_3,Reputation_1,Reputation_2,Reputation_3,Professionalism_1,Professionalism_2,Professionalism_3,Relevance_1,Relevance_2,Relevance_3,Relevance_4,Relevance_5,Relevance_6,Relevance_7,Relevance_8,Relevance_9,Persuasiveness_1,Persuasiveness_2,Persuasiveness_3,Persuasiveness_4,Persuasiveness_5,Persuasiveness_6,Persuasiveness_7,Persuasiveness_8,Persuasiveness_9,Excitement_1,Excitement_2,Excitement_3,Excitement_4,Excitement_5,Excitement_6,Excitement_7,Excitement_8,Excitement_9,Referencing_1,Referencing_2,Referencing_3,Referencing_4,Referencing_5,TargetingGap_1,TargetingGap_2,TargetingGap_3,TargetingGap_4,TargetingGap_5,DemonstrativeGap_1,DemonstrativeGap_2,DemonstrativeGap_3,DemonstrativeGap_4,DemonstrativeGap_5,PersuasiveGap_1,PersuasiveGap_2,PersuasiveGap_3,PersuasiveGap_5,PersuasiveGap_6,Engagement_Info1,Engagement_Info2,Engagement_Info3,Engagement_Emotion1,Engagement_Emotion2,Engagement_Emotion3,Engagement_Behaviour1,Engagement_Behaviour2,Engagement_Behaviour3,Recall_Brand,Recall_Influencer,ResponseTime1,ResponseTime2,ResponseTime3,filter_$
Xy4KGzRxxq5,xLV55ZV7,2025-01-07 10:54:43,2025-01-07 11:18:28,1425,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,101.91.147.168,121.4626700,31.2202940,上海市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,4,3,1,3,5,4,4,5,4,5,5,5,4,5,5,4,4,4,5,4,5,4,4,5,4,4,5,5,4,4,3,4,5,4,5,5,4,5,4,4,4,5,4,3,4,5,5,5,4,4,5,2,1,1,1,2,2,2,1,2,1,1,5,1,2,2,4,4,5,5,4,4,4,5,4,1,1,8638.1,3147.7,27002.9,1
nZo3q8bBDV2,RMW0jrE7,2025-01-07 11:00:50,2025-01-07 11:12:24,694,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,139.209.23.61,125.1449579,42.9069462,吉林省,辽源市,COMPUTER,Windows,Microsoft Edge,1301px*731px,0,0,0,0,1,1,1,4,4,1,3,5,4,4,4,5,4,4,5,4,5,4,5,3,4,4,4,5,4,5,5,4,4,3,3,4,5,4,3,4,5,4,5,4,4,5,5,4,4,4,5,3,3,4,3,4,5,4,2,1,3,4,2,2,1,3,2,3,2,3,2,1,3,4,5,4,3,2,4,4,5,4,1,1,32921,16122.5,31433.8,1
bo3KE9K4odl,xMobP0Be,2025-01-07 10:51:16,2025-01-07 11:00:25,549,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,116.9.72.205,109.4146282,24.3181756,广西壮族自治区,柳州市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,4,4,1,3,5,4,4,5,4,5,4,4,5,5,4,5,4,5,4,4,5,4,3,4,4,3,3,3,4,4,5,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,4,4,3,4,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,5,3,4,4,4,5,4,4,4,1,1,7323.8,18086.9,52890.7,1
Xy4Karv2Kw8,me3QR427,2025-01-07 10:40:57,2025-01-07 10:53:48,771,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,180.137.152.81,106.6191977,23.9031746,广西壮族自治区,百色市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,1,4,3,1,3,4,5,4,4,5,4,4,5,5,5,4,4,4,5,4,4,4,5,4,5,5,4,4,5,4,5,4,5,4,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,5,5,4,2,1,2,2,2,1,2,2,1,2,2,4,2,2,1,4,4,5,4,5,4,5,4,4,1,1,6759.3,7356.1,30817.3,1
nZo333mbj1a,ve82G5r7,2025-01-07 10:16:33,2025-01-07 10:28:34,721,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,49.65.151.47,118.8229940,31.9653060,江苏省,南京市,COMPUTER,Windows,Chrome,1280px*720px,0,0,0,0,1,1,2,4,2,1,3,5,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5,4,4,4,5,4,4,5,4,4,4,5,5,4,5,4,5,4,4,5,4,4,5,4,4,4,4,5,5,5,4,2,1,2,2,2,4,5,5,4,2,2,1,1,2,2,4,5,5,5,4,4,5,5,4,1,1,9741.7,21717.1,34935.1,1
mNVXXPQN1V4,o7jq6dmM,2025-01-07 10:12:42,2025-01-07 10:24:11,689,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,223.104.65.155,113.0895530,22.5680720,广东省,江门市,COMPUTER,Windows,Firefox,1366px*768px,0,0,0,0,1,1,2,4,2,1,3,5,5,4,4,4,5,4,5,4,5,5,5,4,4,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5,4,4,5,5,4,4,5,4,4,3,4,3,2,1,2,1,1,4,3,3,4,2,2,2,1,2,2,4,5,5,4,4,5,5,5,4,1,1,26136,30498,27281,1
Q1kKKDapJKG,veEO5d87,2025-01-07 10:16:29,2025-01-07 10:24:29,480,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,113.247.6.196,113.0240446,28.1978805,湖南省,长沙市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,5,4,1,3,5,5,5,4,4,5,4,5,5,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,4,5,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,3,4,4,1,1,1,1,1,4,3,3,3,1,1,3,2,2,1,4,5,5,5,4,5,5,5,5,1,1,24821.3,9918.2,42617.5,1
WQ2Kyyd05WX,me3lp1oM,2025-01-07 10:11:06,2025-01-07 10:21:03,597,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,39.160.160.210,117.0437211,28.2463820,江西省,鹰潭市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,4,4,1,3,5,5,5,4,4,5,5,5,4,5,5,5,4,4,5,5,4,5,4,4,4,4,3,4,4,4,5,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,5,5,4,1,1,2,1,2,4,2,3,2,2,2,4,2,1,2,5,4,5,4,4,5,5,4,4,1,1,8514.1,73666.2,32199.9,1
Xy4K8j9G1xd,G7Xx3xD7,2025-01-07 10:08:01,2025-01-07 10:15:34,453,1,6viY3m,消费者性格与AI视频广告研究真人组（主研究-Study2）,112.27.54.149,117.0592833,30.5291239,安徽省,安庆市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,1,2,4,4,1,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,1,1,1,2,2,1,5,1,1,1,5,5,5,4,5,5,5,5,5,1,1,10870.3,22139.1,25340,1
Q1kzwkzGAxA,ve8zP947,2025-01-07 16:48:46,2025-01-07 17:00:28,702,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,175.0.141.172,113.0338420,28.1588340,湖南省,长沙市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,1,2,1,4,2,1,3,4,5,4,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,4,5,4,5,5,4,5,4,5,5,4,5,4,4,5,4,4,5,4,5,4,5,5,4,4,5,5,4,5,2,1,1,1,2,2,2,1,2,1,1,4,3,2,2,4,5,5,4,4,5,5,4,5,1,1,15637.6,8351.4,30512.4,0
vwkmEa2wRpv,xebYjVXL,2025-01-07 14:41:12,2025-01-07 14:55:23,851,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,183.67.26.18,106.5663370,29.5762230,重庆市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,2,5,3,1,3,4,5,5,4,4,3,4,5,4,4,4,5,4,4,3,4,5,5,3,4,3,3,4,4,5,5,4,5,5,4,4,3,5,4,4,3,3,2,4,4,3,4,3,2,4,4,5,1,1,2,1,2,2,3,1,3,2,2,2,2,1,2,4,3,4,5,4,4,4,5,4,1,1,12094.7,10987.4,27973.1,0
g90aRv15J95,VMJ343J7,2025-01-07 14:18:57,2025-01-07 14:30:06,669,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,39.144.168.105,115.8067200,29.2277410,江西省,九江市,COMPUTER,Windows,Chrome,1707px*1067px,0,0,0,0,1,2,1,4,4,1,3,4,5,3,5,5,4,4,3,3,3,4,4,4,4,5,4,4,5,3,4,3,3,4,4,4,4,4,5,3,4,4,5,4,3,4,5,5,5,4,5,4,4,4,3,4,3,3,3,2,3,2,3,2,2,1,2,3,3,4,2,2,2,4,4,5,3,4,5,4,5,4,1,1,84401.2,32373.4,35491.4,0
Q1kzljnXdEb,pLzD0v3M,2025-01-07 13:55:44,2025-01-07 14:05:21,577,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,121.229.106.141,118.9344510,32.1118700,江苏省,南京市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,1,4,2,1,3,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,4,4,4,4,4,1,1,59325.4,40092.1,55804.9,0
bo34B52mzGy,27abmRwL,2025-01-07 12:47:26,2025-01-07 12:58:47,681,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,182.107.147.167,116.0195220,26.4716440,江西省,赣州市,COMPUTER,Windows,Chrome,1280px*720px,0,0,0,0,1,2,2,4,2,1,3,5,5,4,4,4,4,5,5,5,5,5,4,4,4,5,4,4,5,4,4,5,4,5,5,4,4,3,5,4,4,4,4,5,5,4,4,4,4,5,4,4,4,5,4,5,4,4,2,1,1,1,2,2,2,1,2,1,1,4,2,2,2,5,5,4,4,4,5,2,5,4,1,1,4623.7,3371.9,24169.7,0
Xy43Y9PqZlO,qM6A0OPe,2025-01-07 12:31:36,2025-01-07 12:54:06,1350,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,223.98.104.57,117.3250044,34.8111483,山东省,枣庄市,COMPUTER,Windows,Chrome,1366px*768px,0,0,0,0,1,2,2,4,3,1,3,4,3,4,4,4,3,5,4,4,4,4,5,4,5,4,5,4,4,5,4,4,4,5,4,4,4,3,4,5,4,5,4,4,4,4,5,4,5,4,4,5,4,5,4,4,5,4,2,1,2,2,2,2,2,3,3,2,2,3,2,2,1,4,5,4,4,5,4,3,4,4,1,1,70087.9,35413.7,25407,0
g90ajad5lKQ,J7B1J21M,2025-01-07 12:14:44,2025-01-07 12:26:50,726,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,27.24.224.179,109.4913555,30.2891229,湖北省,恩施土家族苗族自治州,COMPUTER,Windows,Chrome,1524px*858px,0,0,0,0,1,2,1,4,5,1,3,5,4,4,5,5,4,4,4,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,5,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,4,4,5,4,5,4,4,5,4,1,1,89921,39599.5,37689.7,0
lAGYGp2BP1g,9LQB5OGe,2025-01-07 10:45:19,2025-01-07 10:57:12,713,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,182.145.64.229,105.0640101,29.5847783,四川省,内江市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,2,2,3,1,3,3,2,1,4,4,3,4,4,5,4,5,4,5,4,4,4,5,5,4,4,4,4,4,5,4,5,5,5,4,4,4,5,4,3,3,4,3,3,4,5,3,3,5,4,4,4,5,2,2,1,1,2,3,1,2,1,2,2,5,1,1,2,3,4,5,3,2,3,3,4,4,1,1,50959.5,25950.1,25108.2,0
vwk242jAnwW,27a1B1D7,2025-01-07 10:35:26,2025-01-07 10:43:18,472,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,49.82.180.120,119.0476799,33.6033275,江苏省,淮安市,COMPUTER,Windows,Firefox,1366px*768px,0,0,0,0,1,2,2,4,4,1,3,5,4,4,5,5,4,4,3,5,5,4,4,5,5,4,5,4,4,4,5,5,3,4,5,5,3,4,4,4,5,5,4,5,3,5,4,4,5,3,4,5,4,5,3,4,4,5,2,1,1,2,2,1,1,2,1,2,2,3,2,1,1,5,4,4,5,5,4,3,4,5,1,1,24248,24508,29529,0
g90K3EVv0Qg,37KY4Qke,2025-01-07 10:29:22,2025-01-07 10:38:12,530,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,113.137.23.163,109.4800150,36.5806163,陕西省,延安市,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,1,2,1,5,4,1,3,4,5,5,4,4,3,5,4,4,5,4,4,4,4,5,3,4,4,4,3,4,3,4,4,4,3,3,4,4,5,3,3,4,3,2,3,4,2,5,4,3,4,4,4,5,3,3,2,2,1,1,2,2,2,1,3,2,2,4,1,2,2,3,4,4,3,3,4,3,4,3,1,1,19602.7,12493.8,23571.2,0
Xy4K38WYjrD,yevrwAbe,2025-01-07 10:27:01,2025-01-07 10:35:40,519,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,111.25.108.92,130.3615900,42.8731210,吉林省,延边朝鲜族自治州,COMPUTER,Windows,Chrome,1260px*840px,0,0,0,0,1,2,2,4,4,1,2,4,3,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,2,2,2,3,4,4,4,4,4,3,3,4,3,2,3,4,2,2,3,3,4,4,3,2,2,2,2,3,3,2,2,2,2,2,4,3,3,3,4,3,4,3,2,3,4,4,3,1,1,45744,57800.2,24370,0
Q1kKKVjbmWd,G7XrbXDe,2025-01-07 10:19:19,2025-01-07 10:28:07,528,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,119.0.51.116,107.9735363,26.5930954,贵州省,黔东南苗族侗族自治州,COMPUTER,Windows,Chrome,1536px*864px,0,0,0,0,1,2,1,4,2,1,3,5,5,4,4,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,4,3,4,4,5,4,5,3,5,3,4,5,5,4,3,3,4,5,4,5,5,3,4,4,5,5,4,4,1,1,2,1,1,1,2,1,1,2,1,5,4,1,5,4,4,5,5,4,4,2,2,3,1,1,9954.5,17488,30974.4,0
nZo33b64gp2,RMWKKlXM,2025-01-07 10:16:15,2025-01-07 10:25:20,545,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,211.140.207.170,121.1207570,41.1159750,辽宁省,锦州市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,2,2,5,1,3,4,5,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,2,1,2,1,2,2,4,2,1,1,2,2,2,1,2,4,5,4,4,5,4,4,5,4,1,1,37606.5,30161.8,27235.8,0
lAGY96Na3d4,J7qmND47,2025-01-07 10:10:52,2025-01-07 10:22:45,713,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,223.73.138.46,113.1258988,23.0229910,广东省,佛山市,COMPUTER,Windows,WeChat,1280px*800px,0,0,0,0,1,2,2,4,2,1,3,3,4,4,4,5,4,4,4,5,4,4,3,3,3,5,4,4,5,4,4,5,3,3,4,4,4,5,4,4,4,4,3,4,4,4,5,5,4,3,3,4,4,4,3,4,4,4,2,1,2,2,2,2,1,2,1,2,2,3,3,2,1,4,4,3,4,4,4,3,4,4,1,1,81274.2,15875.1,31244.1,0
Q1kKYyg1nV4,nePwNxvL,2025-01-07 10:12:53,2025-01-07 10:22:33,580,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,117.147.31.241,120.2188504,30.2398990,浙江省,杭州市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,2,4,5,1,3,5,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,3,3,4,4,4,5,4,4,3,3,4,4,4,5,5,3,3,4,4,4,5,4,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,4,3,4,4,3,4,4,4,4,1,1,65440,19839.9,35423.4,0
lAGYQywx8BJ,BMD4ZrQM,2025-01-07 10:00:56,2025-01-07 10:14:44,828,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,123.232.100.202,117.0413500,36.6623208,山东省,济南市,COMPUTER,Windows,WeChat,1920px*1080px,0,0,0,0,1,2,1,3,2,1,3,5,5,4,5,5,5,5,4,4,4,5,5,4,4,4,4,4,5,3,4,4,3,5,3,4,4,4,4,5,5,5,4,4,5,4,5,5,5,5,4,4,5,4,4,5,5,3,1,2,2,2,3,3,2,2,2,3,2,3,2,2,2,3,4,4,4,5,5,5,5,4,1,1,67006.6,69807.8,40942.6,0
WQ2KNQ42NvB,xLVvgRLY,2025-01-07 09:48:05,2025-01-07 09:55:18,433,1,jamQJn,消费者性格与AI视频广告研究动漫组（主研究-Study2）,222.76.26.21,119.3151122,26.0740670,福建省,福州市,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,2,1,5,3,1,3,1,2,2,5,5,4,4,4,5,2,2,4,3,2,4,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,4,1,2,1,1,2,2,1,2,1,1,2,5,1,1,2,4,5,5,4,5,5,4,5,4,1,1,24952.7,15645.9,28644.2,0
Q1kzA9rEKQd,0eyjEZBM,2025-01-07 16:30:28,2025-01-07 16:38:33,485,1,YBrAji,消费者性格与AI视频广告研究虚拟组（主研究-Study2）,183.224.109.9,101.8536419,24.5652958,云南省,楚雄彝族自治州,COMPUTER,Windows,Chrome,1920px*1080px,0,0,0,0,1,3,2,4,2,1,3,2,1,2,5,4,4,4,4,5,3,3,5,4,4,4,5,4,4,3,4,3,2,2,3,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,4,5,4,3,2,2,1,1,2,2,3,2,2,2,3,4,2,1,1,4,5,4,4,5,5,3,5,4,1,1,31978,37897.5,32128.7,0
NPXN1JQRnvJ,p7YxvQlM,2025-01-07 15:17:08,2025-01-07 15:25:32,504,1,YBrAji,消费者性格与AI视频广告研究虚拟组（主研究-Study2）,183.46.105.93,113.1850530,23.4528420,广东省,广州市,COMPUTER,Mac OS X,Safari,1440px*900px,0,0,0,0,1,3,2,4,4,1,3,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,5,4,5,4,5,1,2,1,2,2,1,2,2,1,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4,1,1,20754,8478,41395,0
